"run.label","dataset.id","geometry.id","truth.id","geometry.family","analysis.sample.policy","analysis.sample.n","n","ambient.dimension","support.grid","candidate.count","coordinate.method","requested.chart.dim","chart.dim","local.chart.method","local.chart.method.effective","backend.requested","backend.used","selected.support.size","selected.degree","selected.kernel","selected.cv.rmse.observed","observed.rmse","truth.rmse","runtime.seconds"
"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7c_hd_1d_noisy_embed100_n200_seed401","p7d_hd1_latent_two_gaussian_v1","controlled_highdim","full_dataset",200,200,100,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35",84,"local.pca","auto",25,"pca","pca","auto","R",34,1,"gaussian",4.44981225863145,0.119208656725613,0.156645564978055,9.879
"cpp.local.pca","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7c_hd_1d_noisy_embed100_n200_seed401","p7d_hd1_latent_two_gaussian_v1","controlled_highdim","full_dataset",200,200,100,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35",84,"local.pca","auto",25,"pca","pca","cpp.local.pca","cpp.local.pca",34,1,"gaussian",4.44981225863146,0.119208656725613,0.156645564978055,19.246
"auto","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","p7c_hd_2d_diagonal_embed100_n400_seed402","p7d_hd2_latent_three_gaussian_v1","controlled_highdim","full_dataset",400,400,100,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35",84,"local.pca","auto",2,"pca","pca","auto","R",27,2,"tricube",0.136241259290821,0.0863707453720103,0.0558373310368975,13.316
"cpp.local.pca","p7d_hd2_latent_three_gaussian_v1__noise_sd010_r01","p7c_hd_2d_diagonal_embed100_n400_seed402","p7d_hd2_latent_three_gaussian_v1","controlled_highdim","full_dataset",400,400,100,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35",84,"local.pca","auto",2,"pca","pca","cpp.local.pca","cpp.local.pca",27,2,"tricube",0.136241259290821,0.0863707453720103,0.0558373310368975,13.985
"auto","p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7c_hd_3d_diagonal_embed99_n600_seed403","p7d_hd3_latent_four_gaussian_v1","controlled_highdim","full_dataset",600,600,99,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35",84,"local.pca","auto",3,"pca","pca","auto","R",29,2,"tricube",0.250441851198048,0.100883925797023,0.096720810405173,20.408
"cpp.local.pca","p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7c_hd_3d_diagonal_embed99_n600_seed403","p7d_hd3_latent_four_gaussian_v1","controlled_highdim","full_dataset",600,600,99,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35",84,"local.pca","auto",3,"pca","pca","cpp.local.pca","cpp.local.pca",29,2,"tricube",0.250441851198048,0.100883925797023,0.096720810405173,23.132
"auto","p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7c_16s_valencia2k_relabund_rknn_k4_mst_v1","p7d_16s_graph_gaussian_farthest3_v1","real16s","deterministic_16s_subset_n250",250,250,178,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35",84,"local.pca","auto",5,"pca","pca","auto","R",33,1,"gaussian",0.611847681468097,0.188638052166076,0.17997999061921,12.03
"cpp.local.pca","p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7c_16s_valencia2k_relabund_rknn_k4_mst_v1","p7d_16s_graph_gaussian_farthest3_v1","real16s","deterministic_16s_subset_n250",250,250,178,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35",84,"local.pca","auto",5,"pca","pca","cpp.local.pca","cpp.local.pca",33,1,"gaussian",0.611847681468095,0.188638052166076,0.17997999061921,15.966
"auto","p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7c_16s_valencia2k_relabund_rknn_k4_mst_v1","p7d_16s_graph_gaussian_farthest3_v1","real16s","deterministic_16s_subset_n500",500,500,178,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35",84,"local.pca","auto",6,"pca","pca","auto","R",33,1,"gaussian",0.373360407392332,0.15555630396101,0.153421066231622,23.417
"cpp.local.pca","p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7c_16s_valencia2k_relabund_rknn_k4_mst_v1","p7d_16s_graph_gaussian_farthest3_v1","real16s","deterministic_16s_subset_n500",500,500,178,"15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35",84,"local.pca","auto",6,"pca","pca","cpp.local.pca","cpp.local.pca",33,1,"gaussian",0.373360407392331,0.15555630396101,0.153421066231622,37.877
