"lambda.sync","cv.rmse.observed","total.local.gcv.ps","sync.energy","mean.sync.squared.disagreement","eval.elapsed.sec","path","evaluated_by_search","batch_id","dataset_id","chart_dim_rule","layout_id","full_selected_lambda","search_selected_lambda"
0,0.124801500520383,5.1554554981604,4.57209292550024,0.000272132190263822,0.132,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed",10,10
0.001,0.1229265727764,5.15814465107512,4.52069452349918,0.000269072943669205,0.0779999999999998,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed",10,10
0.003,0.121747260042443,5.15897711046163,4.46301016157759,0.000265639555063707,0.065,"full_grid",FALSE,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed",10,10
0.01,0.119323342591368,5.16170168076263,4.27391580419414,0.000254384608482397,0.0629999999999997,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed",10,10
0.03,0.116479524696295,5.16843089542166,3.82148492862987,0.00022745580210937,0.065,"full_grid",FALSE,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed",10,10
0.1,0.11336657633789,5.18688019077186,2.82347919871685,0.000168054234905361,0.0619999999999998,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed",10,10
0.3,0.111162866336289,5.22407343831082,1.67191031976594,9.95125481166402e-05,0.122,"full_grid",FALSE,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed",10,10
1,0.109232172190464,5.29447712877768,0.745757162818213,4.4387665217992e-05,0.06,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed",10,10
3,0.107553722062898,5.38115936277671,0.321279718827722,1.9122654547177e-05,0.0590000000000002,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed",10,10
10,0.106337352514268,5.49175463192732,0.125345786865166,7.4606146628631e-06,0.0590000000000002,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed",10,10
0.1,0.11336657633789,5.18688019077186,2.82347919871685,0.000168054234905361,0.0630000000000006,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","interior_positive",30,30
0.3,0.111162866336289,5.22407343831082,1.67191031976594,9.95125481166402e-05,0.0629999999999997,"full_grid",FALSE,"FB01","LA-D1-RAW-N500","auto","interior_positive",30,30
1,0.109232172190464,5.29447712877768,0.745757162818213,4.4387665217992e-05,0.0630000000000006,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","interior_positive",30,30
3,0.107553722062898,5.38115936277671,0.321279718827722,1.9122654547177e-05,0.0609999999999999,"full_grid",FALSE,"FB01","LA-D1-RAW-N500","auto","interior_positive",30,30
10,0.106337352514268,5.49175463192732,0.125345786865166,7.4606146628631e-06,0.0629999999999997,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","interior_positive",30,30
30,0.105937403875591,5.60539389196615,0.0558004954183899,3.32126036881707e-06,0.0629999999999997,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","interior_positive",30,30
100,0.105996312770443,5.7503508881066,0.0264842773142809,1.57635124887606e-06,0.0640000000000001,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","interior_positive",30,30
300,0.107132130569032,5.94530344096344,0.0143772446270003,8.55737434487136e-07,0.0640000000000001,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","interior_positive",30,30
1000,0.110683320966704,6.35494733538146,0.00643354965800288,3.82926591416957e-07,0.0620000000000003,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","interior_positive",30,30
30,0.105937403875591,5.60539389196615,0.0558004954183899,3.32126036881707e-06,0.126999999999999,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive",30,30
100,0.105996312770443,5.7503508881066,0.0264842773142809,1.57635124887606e-06,0.0609999999999999,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive",30,30
300,0.107132130569032,5.94530344096344,0.0143772446270003,8.55737434487136e-07,0.0609999999999999,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive",30,30
1000,0.110683320966704,6.35494733538146,0.00643354965800288,3.82926591416957e-07,0.0640000000000001,"full_grid",FALSE,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive",30,30
3000,0.115596850691574,7.04269076998682,0.0023146665972949,1.37769573172762e-07,0.0630000000000006,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive",30,30
10000,0.121334761040386,8.06894909006032,0.000501646710097413,2.98581459698817e-08,0.0620000000000012,"full_grid",FALSE,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive",30,30
30000,0.126769827656703,9.06576930367923,0.000102458431196948,6.09835314962896e-09,0.0629999999999988,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive",30,30
1e+05,0.132954666101446,10.1529107050563,1.71834595090803e-05,1.02276409266203e-09,0.0619999999999994,"full_grid",FALSE,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive",30,30
3e+05,0.139221651010384,11.067853055866,3.16192187980622e-06,1.88198433543567e-10,0.0619999999999994,"full_grid",TRUE,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive",30,30
0,4.9210872349451,17.1642672130261,46.2220888625752,0.00268795585688927,0.134,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed",10,10
0.001,0.338269311257425,19.7626486555968,40.4062933748966,0.00234974955924544,1.938,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed",10,10
0.003,0.248943022796075,19.7779353412497,39.8322951437324,0.00231636980629032,1.865,"full_grid",FALSE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed",10,10
0.01,0.204312657710885,19.8407813302214,38.0107283541833,0.00221044012545654,1.859,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed",10,10
0.03,0.185259855231794,20.0755110369008,33.881908992004,0.00197033664983033,1.666,"full_grid",FALSE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed",10,10
0.1,0.170182351734051,21.1602161824706,25.1847966110838,0.00146457296113545,1.673,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed",10,10
0.3,0.156915522103842,24.387792852295,15.0293246328454,0.000874001200855642,1.66,"full_grid",FALSE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed",10,10
1,0.141815587802219,32.1951411170098,6.38351049672086,0.000371220662012698,1.664,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed",10,10
3,0.12862634631934,42.8076072852328,2.40756800546997,0.000140007444068629,1.688,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed",10,10
10,0.118103071715171,55.5335090813574,0.776696002340304,4.51672483846457e-05,1.779,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed",10,10
0.1,0.170182351734051,21.1602161824706,25.1847966110838,0.00146457296113545,1.81,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive",30,30
0.3,0.156915522103842,24.387792852295,15.0293246328454,0.000874001200855642,1.741,"full_grid",FALSE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive",30,30
1,0.141815587802219,32.1951411170098,6.38351049672086,0.000371220662012698,1.762,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive",30,30
3,0.12862634631934,42.8076072852328,2.40756800546997,0.000140007444068629,1.675,"full_grid",FALSE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive",30,30
10,0.118103071715171,55.5335090813574,0.776696002340304,4.51672483846457e-05,1.733,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive",30,30
30,0.113808602584575,65.5198724151159,0.334097598180824,1.94287973110169e-05,1.706,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive",30,30
100,0.115200006510464,74.9543170943172,0.184454256964255,1.07265792727223e-05,1.701,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive",30,30
300,0.123519217862964,87.893806424911,0.118767412857803,6.90668835733207e-06,1.679,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive",30,30
1000,0.143966373310248,123.621720679929,0.0660001406129006,3.83811006558818e-06,1.687,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive",30,30
30,0.113808602584575,65.5198724151159,0.334097598180824,1.94287973110169e-05,1.736,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive",30,30
100,0.115200006510464,74.9543170943172,0.184454256964255,1.07265792727223e-05,1.699,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive",30,30
300,0.123519217862964,87.893806424911,0.118767412857803,6.90668835733207e-06,1.69600000000001,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive",30,30
1000,0.143966373310248,123.621720679929,0.0660001406129006,3.83811006558818e-06,1.79300000000001,"full_grid",FALSE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive",30,30
3000,0.176336643913033,201.265457273614,0.0306401908693393,1.7818208248509e-06,1.67400000000001,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive",30,30
10000,0.220322479337991,346.83677220485,0.00909750022928514,5.29047466830473e-07,1.68299999999999,"full_grid",FALSE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive",30,30
30000,0.255143291997881,492.678635501453,0.00198950450922025,1.15695772940199e-07,1.666,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive",30,30
1e+05,0.276300066384628,599.240467338311,0.00025570683796,1.48701348133517e-08,1.67400000000001,"full_grid",FALSE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive",30,30
3e+05,0.283096635460616,647.830312202332,3.24103481141225e-05,1.88476088339903e-09,1.67800000000001,"full_grid",TRUE,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive",30,30
