"stage","lambda.sync","batch_id","dataset_id","chart_dim_rule","layout_id"
"coarse",0,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed"
"coarse",0.001,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed"
"coarse",0.01,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed"
"coarse",0.1,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed"
"coarse",1,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed"
"coarse",10,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed"
"refine_right",1,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed"
"refine_right",3,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed"
"refine_right",10,"FB01","LA-D1-RAW-N500","auto","right_boundary_mixed"
"coarse",0.1,"FB01","LA-D1-RAW-N500","auto","interior_positive"
"coarse",1,"FB01","LA-D1-RAW-N500","auto","interior_positive"
"coarse",10,"FB01","LA-D1-RAW-N500","auto","interior_positive"
"coarse",100,"FB01","LA-D1-RAW-N500","auto","interior_positive"
"coarse",1000,"FB01","LA-D1-RAW-N500","auto","interior_positive"
"refine_interior",30,"FB01","LA-D1-RAW-N500","auto","interior_positive"
"refine_interior",100,"FB01","LA-D1-RAW-N500","auto","interior_positive"
"refine_interior",300,"FB01","LA-D1-RAW-N500","auto","interior_positive"
"coarse",30,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive"
"coarse",300,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive"
"coarse",3000,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive"
"coarse",30000,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive"
"coarse",3e+05,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive"
"refine_left",30,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive"
"refine_left",100,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive"
"refine_left",300,"FB01","LA-D1-RAW-N500","auto","left_boundary_positive"
"coarse",0,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed"
"coarse",0.001,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed"
"coarse",0.01,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed"
"coarse",0.1,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed"
"coarse",1,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed"
"coarse",10,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed"
"refine_right",1,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed"
"refine_right",3,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed"
"refine_right",10,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","right_boundary_mixed"
"coarse",0.1,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive"
"coarse",1,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive"
"coarse",10,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive"
"coarse",100,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive"
"coarse",1000,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive"
"refine_interior",30,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive"
"refine_interior",100,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive"
"refine_interior",300,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","interior_positive"
"coarse",30,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive"
"coarse",300,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive"
"coarse",3000,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive"
"coarse",30000,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive"
"coarse",3e+05,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive"
"refine_left",30,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive"
"refine_left",100,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive"
"refine_left",300,"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","left_boundary_positive"
