"geometry_family","planned_pairs","complete_pairs","mean_delta_truth_rmse","ci95_lo","ci95_hi","median_delta_truth_rmse","median_elapsed_ratio_screened_full","median_candidates_screened","median_candidates_full","support_inclusion_rate","lambda_match_rate"
"synthetic compositional strata",6,6,0.000510166908933264,-0.000591396398115018,0.00161173021598155,0.000107271757860664,0.256538783801724,4,21,0.166666666666667,0.666666666666667
"synthetic high-dimensional rank strata",6,6,0.00154319582835599,0.000108250990185022,0.00297814066652695,0.00100690378253143,0.808835882023275,12,21,0.5,0.5
"synthetic singular sheet union",6,6,-0.000332438392347345,-0.000984017641348142,0.000319140856653452,0,0.634349727161206,11,21,0.833333333333333,0.833333333333333
"synthetic stratified surface/curve",12,12,-0.000267277300134973,-0.000676958244676514,0.000142403644406568,0,0.66475422992174,11,21,0.5,0.5
"VALENCIA depth-1 dCST",6,6,-0.000410773466463172,-0.00154342979088854,0.000721882857962195,0,0.338019634527409,4,21,0.333333333333333,0.666666666666667
"VALENCIA depth-1 hypercube",24,24,0.00124344452274146,-0.00153394149180487,0.00402083053728779,0,0.345618597906705,4,21,0.208333333333333,0.708333333333333
"VALENCIA depth-2 hypercube",6,6,0.00947556443258576,-0.00853711506589755,0.0274882439310691,0,0.254594415761548,4,21,0.333333333333333,0.833333333333333
"VALENCIA depth2 dCST",6,6,0.000171048723112469,-0.000967341486299801,0.00130943893252474,0.000169394345765,0.308719311322317,5,21,0.333333333333333,1
"VALENCIA depth3 dCST",6,6,0.0135537896866588,0.0012835918349283,0.0258239875383893,0.00835083368368724,0.273711549307376,4.5,21,0.333333333333333,0.333333333333333
"VALENCIA full phylotype matrix",6,6,0.000601624279171861,-0.000726514189566229,0.00192976274790995,7.70550019300147e-05,0.709895028915777,12,21,0.166666666666667,1
